"",Set,Count
21291,"(15, 25, 28)",9
14110,"(16, 35, 8)",9
72016,"(14, 36, 46)",9
10600,"(31, 42, 44)",9
10629,"(2, 35, 38)",9
35217,"(22, 25, 43)",9
14109,"(16, 22, 9)",9
54293,"(25, 44, 7)",9
28916,"(22, 26, 8)",9
31233,"(13, 44, 8)",9
5317,"(34, 45, 46)",9
5315,"(25, 34, 46)",9
10666,"(10, 25, 33)",9
50395,"(21, 27, 7)",9
21530,"(17, 33, 45)",9
5522,"(10, 33, 35)",9
55656,"(41, 7, 8)",9
5707,"(23, 36, 5)",9
14507,"(34, 35, 36)",9
10356,"(17, 38, 6)",9
25826,"(15, 20, 37)",9
14504,"(29, 35, 36)",9
50393,"(15, 21, 5)",9
14509,"(35, 36, 37)",9
14174,"(10, 15, 23)",9
35192,"(18, 27, 38)",9
72015,"(1, 36, 37)",9
63573,"(16, 36, 4)",9
69986,"(40, 43, 6)",9
7899,"(2, 28, 6)",9
53868,"(14, 21, 39)",9
40390,"(15, 37, 39)",9
16667,"(43, 49, 7)",9
1137,"(2, 20, 30)",9
18095,"(12, 21, 41)",9
55257,"(23, 3, 44)",9
16624,"(24, 31, 4)",9
8886,"(10, 43, 45)",9
18103,"(21, 22, 41)",9
27207,"(23, 3, 48)",9
53652,"(19, 2, 27)",9
16620,"(11, 31, 4)",9
16618,"(11, 24, 4)",9
64563,"(18, 42, 44)",9
38889,"(2, 34, 9)",9
16590,"(15, 27, 40)",9
16586,"(12, 40, 47)",9
47651,"(20, 39, 9)",9
18163,"(12, 13, 32)",9
40388,"(1, 39, 46)",9
8961,"(28, 33, 34)",9
7896,"(2, 28, 3)",9
16516,"(13, 29, 42)",9
48642,"(12, 15, 41)",9
16519,"(2, 29, 36)",9
9161,"(13, 24, 6)",9
1035,"(27, 40, 44)",9
10560,"(26, 33, 48)",9
1037,"(27, 44, 6)",9
16202,"(18, 44, 47)",9
9166,"(20, 24, 6)",9
18709,"(11, 25, 40)",9
48707,"(1, 27, 36)",9
1082,"(19, 34, 37)",9
18382,"(31, 36, 38)",9
8915,"(10, 16, 44)",9
1446,"(16, 4, 9)",9
1447,"(19, 28, 39)",9
18168,"(13, 3, 32)",9
29527,"(10, 30, 37)",9
18173,"(32, 47, 5)",9
40484,"(10, 27, 40)",9
40485,"(22, 27, 40)",9
16556,"(31, 4, 42)",9
18197,"(37, 38, 47)",9
63595,"(13, 14, 34)",9
7863,"(20, 34, 43)",9
18208,"(38, 48, 9)",9
38810,"(23, 38, 7)",9
29969,"(28, 46, 5)",9
18318,"(38, 43, 46)",9
7826,"(17, 33, 35)",9
16456,"(29, 45, 9)",9
7821,"(11, 33, 35)",9
29992,"(1, 26, 47)",9
18274,"(15, 5, 6)",9
29994,"(13, 22, 42)",9
16448,"(20, 29, 45)",9
16446,"(20, 27, 9)",9
18306,"(1, 35, 38)",9
40590,"(14, 40, 49)",9
29497,"(13, 24, 3)",9
26788,"(27, 38, 5)",9
10559,"(20, 48, 7)",9
7782,"(10, 29, 5)",9
20232,"(3, 39, 43)",9
6635,"(13, 31, 38)",9
9879,"(4, 6, 7)",9
21700,"(11, 40, 44)",9
5406,"(17, 26, 40)",9
5405,"(15, 40, 42)",9
5404,"(15, 26, 42)",9
21702,"(24, 39, 44)",9
16421,"(34, 42, 44)",9
42705,"(31, 43, 7)",9
18269,"(15, 20, 22)",9
1488,"(11, 14, 3)",9
7831,"(33, 47, 8)",9
40622,"(4, 45, 7)",9
18342,"(12, 17, 38)",9
26823,"(19, 29, 40)",9
30024,"(27, 34, 4)",9
27270,"(1, 24, 31)",9
1087,"(21, 32, 4)",9
18351,"(17, 38, 42)",9
10553,"(17, 26, 7)",9
16416,"(11, 44, 46)",9
16414,"(11, 34, 46)",9
7746,"(21, 38, 40)",9
38684,"(12, 20, 44)",9
7744,"(21, 28, 38)",9
40542,"(20, 23, 48)",9
26824,"(19, 29, 45)",9
7783,"(10, 29, 9)",9
18313,"(3, 38, 46)",9
9006,"(12, 39, 49)",9
1084,"(19, 37, 4)",9
18377,"(23, 36, 38)",9
1490,"(11, 14, 48)",9
13119,"(3, 5, 9)",8
23095,"(18, 20, 22)",8
644,"(12, 8, 9)",8
2304,"(11, 14, 2)",8
31091,"(21, 22, 42)",8
4376,"(2, 36, 42)",8
25190,"(13, 34, 7)",8
21357,"(17, 18, 3)",8
50442,"(15, 41, 8)",8
21354,"(12, 17, 34)",8
35783,"(12, 17, 2)",8
42428,"(32, 6, 8)",8
35678,"(21, 31, 41)",8
42426,"(10, 6, 8)",8
42452,"(19, 22, 29)",8
13083,"(34, 46, 5)",8
21232,"(17, 39, 9)",8
11268,"(23, 27, 34)",8
27722,"(24, 28, 37)",8
21091,"(22, 23, 35)",8
5828,"(12, 14, 45)",8
28130,"(15, 16, 21)",8
67534,"(10, 14, 29)",8
21093,"(22, 32, 35)",8
31004,"(17, 18, 8)",8
33845,"(19, 2, 37)",8
10280,"(13, 35, 8)",8
25865,"(11, 28, 7)",8
35910,"(19, 33, 43)",8
10284,"(21, 35, 47)",8
14608,"(1, 22, 49)",8
25801,"(20, 26, 36)",8
21386,"(12, 13, 29)",8
25802,"(20, 26, 42)",8
28105,"(28, 38, 44)",8
43704,"(13, 43, 49)",8
27749,"(14, 15, 40)",8
4383,"(2, 42, 9)",8
4382,"(2, 42, 6)",8
35643,"(27, 32, 37)",8
2320,"(2, 37, 40)",8
21326,"(17, 37, 38)",8
5654,"(14, 37, 41)",8
5662,"(26, 37, 41)",8
5694,"(1, 2, 5)",8
14605,"(1, 20, 22)",8
642,"(12, 30, 8)",8
35735,"(24, 45, 8)",8
11240,"(23, 44, 6)",8
42477,"(28, 33, 47)",8
5611,"(22, 49, 9)",8
4388,"(36, 42, 6)",8
5609,"(22, 45, 49)",8
10406,"(23, 7, 9)",8
31695,"(25, 37, 41)",8
14440,"(42, 5, 7)",8
10409,"(26, 7, 9)",8
25217,"(12, 14, 21)",8
27751,"(14, 42, 45)",8
45522,"(18, 4, 45)",8
2317,"(14, 37, 40)",8
31720,"(2, 22, 42)",8
13155,"(24, 30, 46)",8
5657,"(23, 26, 37)",8
25188,"(13, 3, 49)",8
31087,"(16, 21, 44)",8
14607,"(1, 22, 42)",8
5792,"(34, 45, 6)",8
42328,"(22, 25, 8)",8
23157,"(15, 20, 26)",8
14580,"(2, 39, 9)",8
43755,"(30, 32, 42)",8
5793,"(37, 45, 6)",8
35838,"(20, 36, 41)",8
2266,"(15, 35, 49)",8
35836,"(17, 24, 41)",8
14541,"(27, 28, 38)",8
11269,"(23, 27, 36)",8
2273,"(35, 49, 8)",8
31033,"(36, 38, 43)",8
2271,"(35, 39, 49)",8
14542,"(27, 28, 39)",8
5738,"(14, 19, 30)",8
42382,"(19, 38, 9)",8
14575,"(14, 2, 9)",8
2261,"(10, 35, 8)",8
5780,"(17, 34, 37)",8
14572,"(10, 32, 9)",8
21129,"(20, 40, 46)",8
5777,"(17, 22, 37)",8
14571,"(10, 32, 39)",8
21154,"(1, 18, 2)",8
21158,"(1, 34, 36)",8
21161,"(18, 2, 34)",8
4332,"(25, 48, 7)",8
654,"(30, 8, 9)",8
50343,"(18, 32, 40)",8
653,"(2, 8, 9)",8
10355,"(17, 33, 6)",8
13182,"(19, 21, 45)",8
25859,"(10, 23, 7)",8
42381,"(19, 29, 9)",8
42380,"(19, 29, 38)",8
5744,"(16, 19, 7)",8
13080,"(19, 40, 46)",8
42325,"(19, 22, 34)",8
14645,"(17, 42, 8)",8
10250,"(16, 36, 46)",8
23222,"(20, 38, 49)",8
30953,"(29, 32, 8)",8
4296,"(4, 45, 8)",8
21033,"(14, 22, 26)",8
23219,"(20, 21, 38)",8
23217,"(2, 23, 38)",8
11281,"(36, 47, 7)",8
21126,"(1, 23, 46)",8
42297,"(33, 36, 48)",8
46396,"(36, 41, 43)",8
29035,"(1, 11, 13)",8
11270,"(23, 27, 47)",8
46345,"(18, 39, 47)",8
50295,"(24, 37, 9)",8
50296,"(35, 37, 8)",8
35944,"(11, 38, 9)",8
5836,"(27, 45, 6)",8
14653,"(42, 43, 8)",8
33931,"(28, 37, 43)",8
14604,"(1, 14, 22)",8
42351,"(15, 16, 24)",8
33849,"(2, 29, 35)",8
21194,"(11, 19, 49)",8
651,"(2, 30, 8)",8
5748,"(19, 20, 30)",8
42379,"(15, 19, 29)",8
650,"(16, 8, 9)",8
23129,"(14, 22, 6)",8
10845,"(10, 14, 2)",8
5702,"(2, 23, 4)",8
43073,"(15, 2, 35)",8
31435,"(18, 23, 33)",8
45673,"(15, 21, 4)",8
22247,"(20, 41, 7)",8
22246,"(20, 32, 7)",8
43075,"(2, 34, 35)",8
22242,"(13, 32, 7)",8
22239,"(13, 20, 41)",8
45700,"(21, 30, 31)",8
52882,"(36, 37, 8)",8
31433,"(17, 23, 33)",8
22280,"(16, 32, 7)",8
25314,"(20, 33, 35)",8
22282,"(32, 47, 7)",8
52880,"(12, 22, 40)",8
10816,"(33, 35, 7)",8
22274,"(11, 16, 33)",8
5007,"(37, 47, 9)",8
5005,"(37, 40, 47)",8
5002,"(30, 40, 47)",8
22276,"(11, 32, 7)",8
22785,"(14, 4, 7)",8
4998,"(20, 40, 9)",8
10815,"(33, 35, 40)",8
56798,"(28, 35, 38)",8
4956,"(18, 28, 38)",8
2558,"(11, 14, 29)",8
13443,"(22, 35, 6)",8
4905,"(1, 13, 14)",8
4651,"(30, 31, 33)",8
13444,"(22, 35, 7)",8
22744,"(25, 31, 35)",8
51005,"(41, 43, 9)",8
34213,"(30, 36, 41)",8
45873,"(14, 22, 24)",8
10972,"(36, 40, 8)",8
4791,"(30, 47, 48)",8
14433,"(17, 21, 42)",8
4790,"(30, 37, 48)",8
10968,"(26, 36, 40)",8
4878,"(32, 35, 38)",8
34413,"(13, 21, 37)",8
10974,"(40, 41, 8)",8
4779,"(1, 30, 47)",8
4777,"(1, 24, 48)",8
22683,"(14, 29, 3)",8
25383,"(42, 44, 45)",8
22581,"(1, 3, 8)",8
13540,"(11, 27, 29)",8
13539,"(11, 12, 29)",8
13687,"(17, 28, 36)",8
2554,"(11, 13, 28)",8
22455,"(13, 15, 33)",8
13689,"(17, 32, 36)",8
4991,"(20, 30, 40)",8
13795,"(18, 23, 27)",8
13794,"(18, 20, 27)",8
34709,"(10, 24, 44)",8
13787,"(13, 18, 20)",8
22305,"(12, 21, 8)",8
52858,"(21, 37, 38)",8
22308,"(12, 29, 8)",8
50981,"(32, 44, 9)",8
13761,"(28, 6, 9)",8
45875,"(14, 23, 3)",8
13760,"(28, 5, 9)",8
22397,"(30, 33, 9)",8
34586,"(10, 33, 47)",8
56687,"(14, 33, 9)",8
33906,"(18, 47, 8)",8
57357,"(17, 28, 37)",8
23100,"(19, 26, 35)",8
10368,"(38, 48, 7)",8
21315,"(14, 17, 25)",8
35707,"(37, 39, 43)",8
31063,"(23, 46, 9)",8
31062,"(23, 46, 48)",8
432,"(28, 39, 40)",8
10364,"(33, 48, 6)",8
51459,"(15, 22, 39)",8
21285,"(12, 17, 25)",8
23124,"(1, 14, 36)",8
10361,"(33, 38, 48)",8
10360,"(17, 6, 7)",8
31748,"(27, 37, 6)",8
11232,"(16, 37, 44)",8
5664,"(26, 41, 8)",8
31058,"(19, 23, 48)",8
31746,"(15, 20, 27)",8
35734,"(19, 46, 8)",8
5695,"(1, 23, 36)",8
57383,"(28, 46, 6)",8
74286,"(34, 44, 6)",8
35761,"(33, 41, 45)",8
21256,"(1, 16, 17)",8
13144,"(2, 24, 26)",8
13145,"(2, 24, 30)",8
23133,"(22, 36, 6)",8
23131,"(14, 36, 6)",8
14508,"(34, 36, 37)",8
25833,"(20, 37, 44)",8
45599,"(1, 2, 29)",8
5316,"(25, 45, 46)",8
5314,"(25, 34, 45)",8
28727,"(18, 36, 46)",8
429,"(21, 39, 40)",8
34560,"(18, 34, 39)",8
13692,"(28, 32, 36)",8
13691,"(17, 36, 43)",8
22427,"(22, 43, 46)",8
22428,"(29, 3, 39)",8
34535,"(28, 39, 46)",8
11052,"(37, 45, 48)",8
10882,"(22, 23, 28)",8
4648,"(29, 30, 31)",8
13437,"(12, 22, 6)",8
4912,"(13, 14, 19)",8
22331,"(10, 11, 26)",8
45674,"(15, 21, 43)",8
31462,"(23, 31, 48)",8
34613,"(21, 26, 46)",8
28819,"(18, 23, 49)",8
22333,"(10, 12, 26)",8
2567,"(13, 29, 33)",8
45850,"(36, 39, 46)",8
31607,"(25, 45, 47)",8
22368,"(27, 29, 6)",8
45844,"(18, 2, 33)",8
43455,"(2, 28, 36)",8
13719,"(16, 19, 49)",8
22388,"(12, 29, 30)",8
4916,"(13, 19, 44)",8
22749,"(30, 31, 5)",8
4914,"(13, 14, 44)",8
31601,"(13, 25, 43)",8
50467,"(15, 36, 45)",8
27326,"(19, 27, 43)",8
28943,"(21, 28, 44)",8
48907,"(15, 17, 5)",8
1604,"(10, 31, 33)",8
16960,"(19, 28, 37)",8
16143,"(33, 40, 45)",8
44385,"(12, 25, 7)",8
3088,"(11, 14, 23)",8
18786,"(11, 30, 41)",8
87280,"(23, 48, 49)",8
3366,"(17, 21, 27)",8
38271,"(11, 15, 49)",8
16959,"(19, 25, 37)",8
9205,"(11, 32, 48)",8
9204,"(11, 32, 46)",8
18758,"(41, 45, 48)",8
3645,"(16, 21, 24)",8
28404,"(13, 15, 30)",8
18751,"(1, 41, 48)",8
3093,"(11, 23, 44)",8
58347,"(12, 23, 49)",8
24634,"(11, 29, 38)",8
7514,"(25, 34, 42)",8
38324,"(19, 3, 5)",8
12384,"(24, 3, 44)",8
1599,"(10, 11, 33)",8
63388,"(10, 21, 8)",8
32314,"(10, 19, 37)",8
7509,"(11, 34, 42)",8
26970,"(15, 30, 47)",8
32126,"(45, 5, 6)",8
18747,"(1, 22, 41)",8
30173,"(47, 48, 8)",8
12387,"(27, 3, 44)",8
40860,"(21, 4, 5)",8
9200,"(11, 17, 40)",8
18790,"(12, 30, 41)",8
23036,"(19, 26, 31)",8
4432,"(42, 5, 8)",8
10515,"(25, 27, 40)",8
21601,"(22, 30, 46)",8
25222,"(14, 21, 36)",8
21602,"(27, 30, 46)",8
42652,"(29, 42, 8)",8
42621,"(16, 38, 43)",8
10487,"(42, 44, 6)",8
42598,"(29, 40, 42)",8
10485,"(29, 42, 6)",8
21495,"(16, 40, 47)",8
5525,"(12, 27, 35)",8
54268,"(30, 31, 37)",8
5523,"(10, 33, 8)",8
10472,"(12, 29, 42)",8
37020,"(23, 24, 35)",8
21524,"(14, 17, 45)",8
5516,"(10, 12, 27)",8
42596,"(12, 13, 42)",8
10478,"(16, 29, 42)",8
21531,"(17, 36, 45)",8
10481,"(16, 42, 44)",8
21532,"(17, 45, 8)",8
21533,"(33, 36, 45)",8
35493,"(33, 42, 5)",8
597,"(27, 35, 36)",8
11196,"(14, 28, 48)",8
35490,"(17, 33, 5)",8
10479,"(16, 29, 44)",8
12844,"(14, 18, 39)",8
1026,"(1, 40, 44)",8
40078,"(20, 31, 41)",8
585,"(18, 27, 36)",8
7599,"(17, 41, 9)",8
38435,"(25, 27, 45)",8
1558,"(30, 46, 5)",8
9129,"(15, 48, 6)",8
7596,"(17, 3, 7)",8
1556,"(30, 32, 46)",8
29437,"(14, 19, 46)",8
32823,"(32, 40, 5)",8
12416,"(10, 32, 5)",8
40809,"(32, 42, 9)",8
26668,"(10, 26, 46)",8
16179,"(28, 32, 40)",8
16107,"(36, 39, 6)",8
58319,"(14, 2, 43)",8
39275,"(11, 25, 41)",8
3609,"(1, 29, 33)",8
39243,"(15, 16, 49)",8
26969,"(15, 30, 45)",8
38433,"(19, 25, 8)",8
16245,"(26, 5, 6)",8
18607,"(18, 25, 9)",8
8183,"(13, 27, 40)",8
29444,"(19, 46, 9)",8
1552,"(23, 30, 5)",8
3376,"(21, 27, 41)",8
27303,"(17, 19, 21)",8
7631,"(20, 27, 7)",8
16281,"(17, 32, 41)",8
3382,"(27, 35, 49)",8
7628,"(20, 27, 34)",8
1544,"(16, 30, 32)",8
10965,"(16, 36, 8)",8
27328,"(24, 28, 34)",8
16100,"(15, 39, 6)",8
16965,"(25, 30, 37)",8
28286,"(14, 31, 34)",8
7470,"(10, 41, 43)",8
29407,"(23, 28, 4)",8
16967,"(25, 37, 48)",8
60893,"(18, 21, 33)",8
9252,"(34, 36, 41)",8
9253,"(34, 36, 7)",8
7429,"(30, 36, 8)",8
9254,"(34, 41, 7)",8
11720,"(1, 21, 30)",8
11719,"(1, 2, 43)",8
40054,"(30, 40, 44)",8
7424,"(17, 39, 49)",8
1187,"(1, 21, 35)",8
40938,"(31, 32, 6)",8
16069,"(18, 4, 44)",8
11730,"(2, 21, 43)",8
40914,"(2, 38, 48)",8
11723,"(11, 2, 21)",8
29410,"(25, 28, 4)",8
27329,"(27, 28, 43)",8
17721,"(12, 18, 24)",8
16135,"(22, 33, 44)",8
16134,"(22, 33, 40)",8
7464,"(10, 19, 43)",8
7461,"(10, 19, 28)",8
1021,"(1, 17, 44)",8
1615,"(31, 32, 33)",8
3659,"(24, 27, 9)",8
40891,"(41, 46, 6)",8
16105,"(28, 42, 6)",8
42650,"(23, 32, 8)",8
4430,"(30, 42, 8)",8
21674,"(22, 33, 35)",8
10597,"(27, 31, 42)",8
50686,"(20, 36, 46)",8
46086,"(16, 35, 47)",8
43602,"(19, 35, 6)",8
2412,"(11, 22, 27)",8
28941,"(21, 24, 34)",8
25225,"(21, 3, 36)",8
14186,"(23, 4, 48)",8
4469,"(14, 22, 25)",8
4461,"(11, 19, 23)",8
35404,"(17, 21, 3)",8
10526,"(33, 40, 9)",8
580,"(18, 22, 31)",8
60102,"(29, 5, 7)",8
31171,"(12, 26, 4)",8
14116,"(22, 35, 8)",8
50689,"(32, 36, 6)",8
35221,"(25, 32, 6)",8
14113,"(20, 35, 8)",8
31693,"(19, 37, 41)",8
14112,"(20, 22, 9)",8
21825,"(14, 27, 39)",8
73425,"(11, 15, 22)",8
51351,"(39, 41, 42)",8
51350,"(38, 41, 42)",8
28942,"(21, 28, 42)",8
35246,"(28, 29, 8)",8
10593,"(15, 27, 42)",8
54817,"(12, 14, 38)",8
14182,"(15, 4, 42)",8
13262,"(29, 38, 8)",8
42730,"(16, 20, 44)",8
23006,"(24, 3, 42)",8
5437,"(10, 19, 42)",8
23007,"(24, 31, 38)",8
2763,"(16, 35, 6)",8
25715,"(22, 3, 9)",8
14218,"(17, 28, 4)",8
25710,"(11, 22, 3)",8
10554,"(20, 26, 33)",8
5409,"(26, 40, 42)",8
27807,"(24, 30, 35)",8
5407,"(17, 26, 42)",8
34021,"(16, 7, 8)",8
34024,"(37, 47, 7)",8
21704,"(24, 40, 44)",8
2765,"(18, 35, 45)",8
21707,"(39, 44, 8)",8
74067,"(10, 18, 7)",8
31202,"(11, 23, 41)",8
579,"(18, 22, 27)",8
28078,"(22, 41, 9)",8
21665,"(1, 17, 35)",8
46136,"(34, 40, 49)",8
62250,"(12, 16, 24)",8
10519,"(26, 27, 33)",8
581,"(18, 22, 35)",8
21635,"(19, 20, 43)",8
5453,"(2, 46, 5)",8
2368,"(20, 26, 45)",8
10522,"(26, 33, 9)",8
5447,"(19, 2, 5)",8
14254,"(26, 38, 42)",8
5392,"(12, 15, 40)",8
21640,"(20, 40, 43)",8
60445,"(25, 32, 47)",8
21730,"(10, 18, 8)",8
50662,"(44, 45, 5)",8
35437,"(17, 25, 27)",8
10433,"(1, 2, 48)",8
21452,"(15, 25, 6)",8
52690,"(35, 41, 45)",8
28081,"(39, 45, 9)",8
5532,"(33, 35, 8)",8
23065,"(1, 16, 33)",8
13194,"(33, 47, 7)",8
36753,"(11, 29, 30)",8
25682,"(24, 26, 45)",8
51436,"(12, 28, 48)",8
21422,"(17, 36, 42)",8
21419,"(17, 20, 36)",8
13190,"(21, 45, 7)",8
10439,"(1, 40, 9)",8
10440,"(2, 4, 9)",8
5570,"(20, 21, 26)",8
10435,"(1, 4, 40)",8
5567,"(13, 23, 8)",8
5566,"(13, 23, 26)",8
5565,"(13, 21, 8)",8
21453,"(15, 25, 9)",8
21450,"(15, 25, 33)",8
35406,"(17, 3, 43)",8
25219,"(12, 21, 3)",8
5527,"(12, 33, 35)",8
595,"(27, 31, 35)",8
21564,"(27, 44, 8)",8
11195,"(14, 28, 47)",8
4424,"(10, 5, 8)",8
5490,"(27, 32, 35)",8
14295,"(22, 42, 46)",8
14292,"(22, 4, 46)",8
27755,"(37, 40, 42)",8
14393,"(17, 20, 8)",8
21491,"(14, 40, 47)",8
35407,"(21, 4, 43)",8
14151,"(25, 27, 28)",8
4463,"(11, 22, 23)",8
13266,"(35, 7, 8)",8
21771,"(29, 44, 48)",8
11161,"(12, 24, 37)",8
14144,"(20, 25, 27)",8
10587,"(10, 15, 44)",8
54818,"(12, 14, 42)",8
5358,"(22, 47, 5)",8
25679,"(19, 24, 35)",8
2408,"(10, 25, 27)",8
21767,"(25, 34, 48)",8
14681,"(32, 44, 45)",8
28080,"(34, 41, 9)",8
10444,"(4, 40, 9)",8
11198,"(14, 47, 5)",8
31147,"(33, 35, 42)",8
10445,"(4, 48, 9)",8
14392,"(17, 20, 39)",8
11201,"(21, 28, 5)",8
14391,"(17, 20, 28)",8
35565,"(15, 19, 22)",8
14367,"(23, 44, 48)",8
14366,"(23, 28, 48)",8
50520,"(29, 32, 44)",8
50521,"(32, 38, 44)",8
28977,"(25, 37, 46)",8
35540,"(4, 47, 9)",8
21487,"(14, 16, 44)",8
23041,"(26, 47, 8)",8
43331,"(12, 23, 38)",8
6263,"(16, 36, 37)",8
22555,"(25, 28, 42)",8
10129,"(15, 48, 9)",8
41930,"(37, 38, 44)",8
12895,"(25, 33, 37)",8
20440,"(19, 32, 36)",8
36332,"(19, 2, 25)",8
15045,"(10, 19, 30)",8
20438,"(19, 31, 36)",8
36330,"(13, 2, 33)",8
36334,"(19, 25, 33)",8
6086,"(1, 17, 21)",8
29135,"(25, 28, 36)",8
14830,"(20, 42, 45)",8
29101,"(12, 2, 43)",8
11350,"(27, 41, 48)",8
36610,"(20, 38, 40)",8
50084,"(28, 6, 7)",8
42117,"(16, 31, 34)",8
12894,"(25, 3, 37)",8
12963,"(16, 35, 37)",8
31840,"(24, 33, 44)",8
11348,"(27, 33, 48)",8
25105,"(22, 35, 48)",8
2154,"(13, 20, 29)",8
36612,"(28, 40, 9)",8
29162,"(11, 13, 45)",8
62567,"(26, 32, 4)",8
2054,"(10, 29, 3)",8
6300,"(21, 36, 7)",8
11345,"(25, 41, 48)",8
6054,"(37, 39, 42)",8
15082,"(1, 18, 39)",8
30874,"(28, 38, 6)",8
6050,"(22, 37, 44)",8
10018,"(1, 37, 39)",8
20825,"(20, 24, 36)",8
14787,"(11, 24, 26)",8
12936,"(27, 33, 5)",8
73262,"(1, 4, 6)",8
20765,"(33, 44, 49)",8
10159,"(10, 3, 48)",8
10158,"(10, 3, 47)",8
20696,"(17, 37, 43)",8
15088,"(10, 18, 4)",8
36246,"(17, 25, 39)",8
9981,"(27, 30, 42)",8
33547,"(23, 37, 39)",8
750,"(1, 16, 19)",8
45435,"(14, 26, 49)",8
4190,"(19, 32, 5)",8
26023,"(10, 24, 4)",8
12975,"(37, 49, 6)",8
66170,"(15, 26, 5)",8
14857,"(13, 20, 5)",8
70492,"(21, 39, 45)",8
51650,"(27, 40, 5)",8
11339,"(25, 27, 41)",8
36222,"(39, 40, 46)",8
14792,"(23, 24, 26)",8
12885,"(21, 25, 37)",8
20406,"(1, 37, 40)",8
45333,"(16, 24, 34)",8
29165,"(13, 14, 45)",8
54182,"(37, 41, 7)",8
29164,"(13, 14, 24)",8
20791,"(12, 21, 40)",8
12970,"(30, 37, 6)",8
15086,"(1, 39, 4)",8
29099,"(12, 16, 43)",8
25097,"(16, 34, 35)",8
15159,"(20, 43, 7)",8
5961,"(25, 30, 6)",8
10206,"(12, 22, 45)",8
5959,"(25, 29, 6)",8
755,"(1, 47, 48)",8
36161,"(3, 44, 48)",8
10207,"(12, 30, 45)",8
27689,"(18, 3, 33)",8
14822,"(10, 19, 45)",8
11428,"(28, 29, 37)",8
41981,"(11, 26, 36)",8
10210,"(18, 22, 30)",8
27566,"(30, 32, 38)",8
36552,"(19, 25, 40)",8
5953,"(23, 29, 6)",8
6355,"(30, 38, 9)",8
5963,"(29, 30, 34)",8
30680,"(23, 24, 34)",8
20599,"(17, 2, 26)",8
23286,"(12, 24, 32)",8
42086,"(18, 4, 40)",8
6356,"(30, 4, 9)",8
79490,"(13, 22, 49)",8
54677,"(20, 3, 8)",8
4243,"(18, 35, 43)",8
26024,"(10, 24, 45)",8
14882,"(14, 16, 33)",8
44797,"(22, 40, 46)",8
46464,"(29, 34, 45)",8
25956,"(18, 22, 34)",8
20833,"(22, 36, 7)",8
6253,"(11, 16, 36)",8
6351,"(17, 38, 4)",8
61544,"(19, 39, 49)",8
11426,"(27, 28, 29)",8
49939,"(14, 26, 43)",8
46629,"(18, 29, 42)",8
30740,"(36, 41, 6)",8
6057,"(39, 42, 44)",8
43930,"(14, 36, 38)",8
23495,"(1, 15, 17)",8
79468,"(19, 4, 48)",8
14824,"(10, 20, 42)",8
2153,"(13, 20, 23)",8
4234,"(15, 3, 42)",8
10024,"(14, 37, 39)",8
45436,"(14, 27, 48)",8
10203,"(12, 21, 22)",8
10095,"(30, 33, 38)",8
20608,"(29, 30, 39)",8
10202,"(12, 18, 45)",8
25048,"(15, 3, 46)",8
249,"(18, 20, 6)",8
36134,"(31, 46, 48)",8
12929,"(14, 41, 5)",8
4144,"(13, 16, 40)",8
25133,"(13, 17, 7)",8
41978,"(11, 15, 26)",8
25077,"(12, 24, 7)",8
57671,"(39, 46, 7)",8
6345,"(16, 30, 4)",8
43955,"(32, 34, 46)",8
27631,"(27, 47, 49)",8
14889,"(33, 47, 5)",8
36160,"(3, 4, 44)",8
6139,"(14, 19, 48)",8
30894,"(12, 36, 6)",8
30896,"(31, 36, 6)",8
20661,"(15, 39, 40)",8
20536,"(14, 31, 7)",8
33596,"(1, 10, 48)",8
42271,"(23, 6, 8)",8
26057,"(20, 3, 41)",8
4157,"(16, 41, 42)",8
23410,"(26, 32, 37)",8
14689,"(44, 45, 47)",8
36077,"(19, 28, 33)",8
15220,"(2, 29, 4)",8
50082,"(12, 28, 6)",8
57479,"(25, 34, 41)",8
14919,"(19, 40, 9)",8
28189,"(11, 2, 6)",8
13046,"(18, 33, 40)",8
50225,"(11, 37, 44)",8
20989,"(15, 20, 29)",8
12845,"(14, 18, 4)",8
14953,"(24, 36, 7)",8
36052,"(18, 39, 40)",8
25018,"(30, 38, 45)",8
4281,"(10, 32, 8)",8
15190,"(10, 38, 47)",8
20966,"(30, 47, 49)",8
20965,"(30, 44, 49)",8
23405,"(18, 26, 32)",8
692,"(12, 30, 4)",8
14944,"(11, 24, 7)",8
46709,"(30, 32, 33)",8
30794,"(18, 20, 34)",8
48049,"(2, 33, 42)",8
55581,"(25, 31, 44)",8
26058,"(20, 41, 9)",8
36106,"(38, 39, 42)",8
20930,"(14, 36, 49)",8
30678,"(15, 23, 6)",8
11306,"(16, 29, 43)",8
12343,"(15, 36, 47)",8
6226,"(23, 34, 5)",8
11389,"(29, 32, 46)",8
28191,"(15, 16, 6)",8
53200,"(23, 28, 9)",8
2211,"(24, 35, 43)",8
56644,"(30, 48, 6)",8
36104,"(23, 39, 42)",8
10089,"(13, 33, 38)",8
10087,"(13, 30, 38)",8
65991,"(10, 24, 48)",8
41983,"(15, 26, 34)",8
14748,"(16, 25, 38)",8
36470,"(10, 45, 7)",8
2016,"(4, 5, 6)",8
2210,"(24, 31, 47)",8
20576,"(40, 47, 49)",8
27563,"(18, 30, 38)",8
20575,"(4, 47, 49)",8
42215,"(1, 16, 2)",8
