"",Set,Count
9315,"(23, 24)",85
3409,"(35, 37)",85
1123,"(20, 30)",85
3917,"(41, 42)",85
1283,"(14, 49)",85
4013,"(17, 28)",85
1692,"(10, 13)",85
1014,"(27, 40)",84
2979,"(1, 37)",84
2981,"(13, 17)",84
3129,"(12, 28)",84
9115,"(27, 48)",84
904,"(17, 48)",84
2692,"(21, 9)",84
1479,"(11, 3)",84
954,"(20, 45)",84
2841,"(31, 41)",84
8538,"(28, 34)",84
236,"(2, 6)",84
4276,"(42, 45)",84
741,"(16, 19)",84
2098,"(38, 8)",84
2301,"(14, 40)",84
8496,"(20, 24)",84
7334,"(28, 37)",84
8495,"(10, 24)",84
2646,"(19, 38)",84
13250,"(29, 35)",84
1693,"(10, 19)",84
6912,"(18, 23)",84
689,"(4, 48)",84
4098,"(4, 45)",84
7585,"(41, 9)",84
185,"(5, 8)",84
798,"(18, 5)",84
2883,"(18, 39)",84
8257,"(43, 46)",84
627,"(16, 30)",83
1695,"(10, 34)",83
4096,"(28, 46)",83
1839,"(22, 26)",83
1996,"(5, 6)",83
181,"(32, 5)",83
8053,"(10, 6)",83
621,"(12, 16)",83
1644,"(25, 29)",83
13823,"(46, 6)",83
6662,"(15, 4)",83
295,"(45, 7)",83
296,"(45, 9)",83
511,"(22, 41)",83
4370,"(38, 42)",83
4861,"(14, 38)",83
5946,"(30, 34)",83
3,"(15, 46)",83
1480,"(11, 33)",83
1232,"(33, 6)",83
7458,"(19, 41)",83
5477,"(33, 35)",83
6623,"(3, 38)",83
1428,"(16, 39)",83
572,"(22, 36)",83
9636,"(12, 24)",83
7,"(24, 46)",83
5774,"(34, 6)",83
2196,"(24, 43)",83
15468,"(33, 4)",83
2547,"(11, 29)",83
5775,"(37, 6)",83
241,"(40, 6)",83
3130,"(21, 49)",83
1781,"(11, 2)",83
62,"(19, 36)",83
4274,"(4, 42)",83
5206,"(24, 4)",83
6206,"(17, 32)",83
2694,"(24, 9)",83
2502,"(41, 43)",83
6999,"(19, 40)",83
3407,"(34, 38)",83
3225,"(13, 16)",83
1587,"(11, 12)",83
6340,"(30, 38)",83
6337,"(17, 30)",83
1008,"(1, 40)",82
5,"(24, 27)",82
10,"(27, 46)",82
9317,"(24, 38)",82
3597,"(17, 7)",82
9155,"(24, 6)",82
3549,"(21, 44)",82
3593,"(1, 29)",82
2742,"(11, 16)",82
3268,"(10, 26)",82
4816,"(20, 36)",82
2096,"(22, 8)",82
1538,"(32, 46)",82
4582,"(1, 22)",82
4815,"(20, 22)",82
