7,1957,8,10
18,1957,19,9
12,1957,13,9
31,1957,32,8
47,1957,48,8
4,1957,5,8
40,1958,41,11
15,1958,16,10
44,1958,45,10
32,1958,33,10
41,1958,42,9
34,1958,35,9
13,1959,14,10
11,1959,12,10
22,1959,23,10
35,1959,36,10
36,1959,37,10
33,1959,34,9
19,1960,20,14
16,1960,17,12
2,1960,3,10
27,1960,28,10
9,1960,10,10
24,1960,25,9
6,1961,7,14
39,1961,40,12
25,1961,26,11
46,1961,47,10
22,1961,23,9
4,1961,5,9
32,1962,33,11
46,1962,47,11
4,1962,5,10
6,1962,7,10
21,1962,22,10
30,1962,31,9
41,1963,42,13
19,1963,20,11
37,1963,38,11
26,1963,27,10
7,1963,8,9
18,1963,19,9
24,1964,25,12
1,1964,2,10
30,1964,31,10
7,1964,8,10
40,1964,41,9
19,1964,20,9
11,1965,12,12
44,1965,45,12
37,1965,38,11
4,1965,5,10
30,1965,31,10
5,1965,6,9
0,1966,1,13
24,1966,26,13
23,1966,25,12
31,1966,33,10
10,1966,11,10
22,1966,24,10
16,1967,17,14
32,1967,33,12
13,1967,14,11
46,1967,47,10
43,1967,44,10
10,1967,11,10
31,1968,32,13
11,1968,12,11
24,1968,25,10
20,1968,21,10
19,1968,20,10
1,1968,2,10
16,1969,17,15
12,1969,13,12
25,1969,26,10
48,1969,49,9
6,1969,7,9
29,1969,30,9
43,1970,44,14
21,1970,22,12
44,1970,45,12
19,1970,20,10
2,1970,3,10
3,1970,4,10
36,1971,38,13
46,1971,48,12
43,1971,45,12
14,1971,15,11
41,1971,43,10
28,1971,30,10
20,1972,21,12
0,1972,1,11
45,1972,46,11
8,1972,9,11
11,1972,12,9
43,1972,44,9
12,1973,13,11
47,1973,48,11
5,1973,6,10
32,1973,33,10
41,1973,42,10
21,1973,22,9
48,1974,49,11
36,1974,37,11
4,1974,5,10
34,1974,35,10
12,1974,13,9
46,1974,47,9
36,1975,37,13
2,1975,3,11
43,1975,44,10
18,1975,19,10
46,1975,47,9
29,1975,30,9
45,1976,46,11
38,1976,39,10
28,1976,29,10
20,1976,21,10
23,1976,24,9
7,1976,8,9
22,1977,23,12
30,1977,31,11
45,1977,46,11
23,1977,24,11
7,1977,8,10
18,1977,19,10
20,1978,21,12
1,1978,2,11
21,1978,22,9
32,1978,33,9
37,1978,38,9
23,1978,24,9
28,1979,29,12
16,1979,17,10
10,1979,11,9
42,1979,43,9
30,1979,31,9
35,1979,36,9
27,1980,28,11
36,1980,37,11
14,1980,15,11
26,1980,27,11
37,1980,38,10
2,1980,3,10
5,1981,6,12
37,1981,38,11
7,1981,8,10
28,1981,29,9
23,1981,24,9
42,1981,43,9
35,1982,36,13
32,1982,33,13
30,1982,31,13
8,1982,9,12
29,1982,30,12
27,1982,28,10
10,1983,11,12
43,1983,45,11
32,1983,34,10
1,1983,2,10
36,1983,38,9
2,1983,3,9
17,1984,18,13
16,1984,17,12
15,1984,16,12
1,1984,2,11
28,1984,29,11
0,1984,1,9
10,1985,11,11
36,1985,37,11
20,1985,21,11
48,1985,49,10
23,1985,24,10
33,1985,34,9
4,1986,5,11
32,1986,33,11
19,1986,20,11
18,1986,19,10
40,1986,41,10
28,1986,29,10
17,1987,18,12
11,1987,12,10
2,1987,3,10
5,1987,6,10
8,1987,9,10
28,1987,29,10
4,1988,5,15
5,1988,6,12
8,1988,9,12
37,1988,38,11
33,1988,34,9
7,1988,8,9
20,1989,21,15
16,1989,17,10
14,1989,15,9
22,1989,23,9
34,1989,35,9
33,1989,34,9
28,1990,29,11
29,1990,30,11
32,1990,33,10
41,1990,42,10
47,1990,48,10
46,1990,47,10
33,1991,34,18
41,1991,42,14
40,1991,41,13
35,1991,36,12
45,1991,46,11
31,1991,32,11
10,1992,11,21
46,1992,47,19
14,1992,15,18
37,1992,38,18
36,1992,37,18
1,1992,2,17
18,1993,19,20
48,1993,49,19
16,1993,17,17
44,1993,45,17
28,1993,29,17
23,1993,24,17
22,1994,23,20
20,1994,21,19
17,1994,18,19
2,1994,3,18
40,1994,41,18
35,1994,36,17
40,1995,41,25
8,1995,9,19
27,1995,28,18
3,1995,4,17
22,1995,23,17
17,1995,18,16
20,1996,21,21
21,1996,22,20
13,1996,14,19
19,1996,20,18
30,1996,31,18
29,1996,30,18
48,1997,49,18
31,1997,32,18
21,1997,22,17
13,1997,14,17
16,1997,17,17
26,1997,27,16
22,1998,23,22
33,1998,34,20
19,1998,20,19
23,1998,24,19
0,1998,1,18
20,1998,21,17
23,1999,24,19
11,1999,12,18
35,1999,36,18
18,1999,19,18
26,1999,27,17
25,1999,26,17
44,2000,45,21
48,2000,49,18
6,2000,7,18
1,2000,2,18
12,2000,13,18
16,2000,17,17
45,2001,46,19
19,2001,20,18
41,2001,42,17
10,2001,11,17
35,2001,36,17
17,2001,18,16
26,2002,27,20
3,2002,4,20
38,2002,39,20
15,2002,16,17
16,2002,17,17
25,2002,26,17
44,2003,45,19
14,2003,15,19
23,2003,24,18
17,2003,18,18
22,2003,23,18
34,2003,35,17
16,2004,17,19
15,2004,16,18
21,2004,22,18
27,2004,28,18
18,2004,19,17
