number,date,numbers,szostka_count,szostka_value,piatka_count,piatka_value,czworka_count,czworka_value,trojka_count,trojka_value
5243,22-11-2012,"9,12,22,27,46,48",2,1000000.0,16,3500.0,1162,100.0,22849,10.0
5242,20-11-2012,"2,3,22,35,37,45",0,0.0,27,3500.0,1336,100.0,26456,10.0
5241,17-11-2012,"2,6,12,25,29,43",0,0.0,46,3500.0,1921,100.0,32972,10.0
5240,15-11-2012,"8,10,12,22,28,35",0,0.0,68,3500.0,2675,100.0,43014,10.0
5239,13-11-2012,"1,11,21,33,45,49",1,1000000.0,40,3500.0,2011,100.0,33572,10.0
5238,10-11-2012,"9,16,20,30,34,41",0,0.0,33,3500.0,1574,100.0,30136,10.0
5237,08-11-2012,"18,24,32,41,44,45",0,0.0,21,3500.0,1092,100.0,21163,10.0
5236,06-11-2012,"7,16,20,27,28,30",0,0.0,171,3500.0,9866,100.0,186626,10.0
5235,03-11-2012,"6,21,23,27,39,44",7,1000000.0,120,3500.0,5332,100.0,94810,10.0
5234,01-11-2012,"10,23,34,35,36,43",0,0.0,47,3500.0,2622,100.0,49788,10.0
5233,30-10-2012,"1,14,15,19,40,41",0,0.0,52,3500.0,2881,100.0,52817,10.0
5232,27-10-2012,"23,27,28,29,30,36",1,1000000.0,33,3500.0,2716,100.0,52719,10.0
5231,25-10-2012,"4,18,36,40,44,49",1,1000000.0,25,3500.0,2002,100.0,37672,10.0
5230,23-10-2012,"7,17,29,30,41,45",0,0.0,33,3500.0,1971,100.0,36784,10.0
5229,20-10-2012,"1,3,6,11,20,38",0,0.0,44,3500.0,2596,100.0,45461,10.0
5228,18-10-2012,"2,8,17,34,35,44",0,0.0,26,3500.0,1605,100.0,27796,10.0
5227,16-10-2012,"16,18,27,31,34,40",0,0.0,29,3500.0,1281,100.0,24177,10.0
5226,13-10-2012,"3,8,13,14,32,36",0,0.0,35,3500.0,1869,100.0,32427,10.0
5225,11-10-2012,"20,23,29,30,37,47",0,0.0,22,3500.0,858,100.0,16890,10.0
5224,09-10-2012,"2,3,5,16,17,34",0,0.0,25,3500.0,1400,100.0,25397,10.0
5223,06-10-2012,"4,8,11,15,31,38",0,0.0,32,3500.0,1520,100.0,26732,10.0
5222,04-10-2012,"1,10,13,16,24,26",0,0.0,30,3500.0,1336,100.0,22317,10.0
5221,02-10-2012,"1,12,23,28,35,38",0,0.0,37,3500.0,1856,100.0,31925,10.0
5220,29-09-2012,"5,11,27,38,39,45",0,0.0,30,3500.0,1804,100.0,32658,10.0
5219,27-09-2012,"7,18,24,27,31,40",0,0.0,23,3500.0,1223,100.0,21752,10.0
5218,25-09-2012,"4,9,14,24,44,47",0,0.0,24,3500.0,1086,100.0,19102,10.0
5217,22-09-2012,"11,13,22,28,32,37",0,0.0,66,3500.0,3893,100.0,71403,10.0
5216,20-09-2012,"9,15,17,20,23,40",0,0.0,55,3500.0,2869,100.0,50733,10.0
5215,18-09-2012,"24,36,40,41,43,47",0,0.0,31,3500.0,2045,100.0,36206,10.0
5214,15-09-2012,"4,5,37,39,43,49",0,0.0,33,3500.0,1714,100.0,33363,10.0
5416,31-12-2013,"8,25,34,37,41,43",0,0.0,50,3500.0,3016,100.0,56350,10.0
5415,28-12-2013,"8,9,22,37,42,45",0,0.0,30,3500.0,1733,100.0,32363,10.0
5414,26-12-2013,"1,8,9,27,42,46",0,0.0,23,3500.0,1025,100.0,19272,10.0
5413,24-12-2013,"4,12,19,39,43,46",0,0.0,121,3500.0,5734,100.0,107589,10.0
5412,21-12-2013,"2,20,22,36,38,39",0,0.0,32,3500.0,1525,100.0,27809,10.0
5411,19-12-2013,"2,9,10,11,19,35",0,0.0,52,3500.0,3141,100.0,50369,10.0
5410,17-12-2013,"3,5,10,11,40,41",1,1000000.0,37,3500.0,2217,100.0,38455,10.0
5409,14-12-2013,"10,26,29,30,39,46",0,0.0,19,3500.0,1656,100.0,32167,10.0
5408,12-12-2013,"10,19,21,28,31,41",0,0.0,22,3500.0,1260,100.0,23640,10.0
5407,10-12-2013,"12,16,35,44,45,48",0,0.0,22,3500.0,1014,100.0,20245,10.0
5406,07-12-2013,"5,18,24,36,43,47",0,0.0,39,3500.0,1591,100.0,27663,10.0
5405,05-12-2013,"8,11,20,27,40,47",0,0.0,23,3500.0,1048,100.0,20317,10.0
5404,03-12-2013,"4,15,27,34,43,44",0,0.0,45,3500.0,2970,100.0,52857,10.0
5403,30-11-2013,"11,19,20,25,35,36",0,0.0,34,3500.0,2484,100.0,47239,10.0
5402,28-11-2013,"5,19,29,32,36,37",0,0.0,26,3500.0,1550,100.0,32205,10.0
5401,26-11-2013,"1,15,37,38,41,42",0,0.0,20,3500.0,1297,100.0,24401,10.0
5400,23-11-2013,"10,18,20,28,33,39",0,0.0,21,3500.0,1307,100.0,26471,10.0
5399,21-11-2013,"11,16,38,39,41,46",0,0.0,21,3500.0,964,100.0,17822,10.0
5398,19-11-2013,"14,18,34,36,41,45",0,0.0,30,3500.0,1954,100.0,37426,10.0
5397,16-11-2013,"6,12,13,18,20,47",0,0.0,43,3500.0,2357,100.0,43612,10.0
5396,14-11-2013,"4,5,19,28,39,41",0,0.0,24,3500.0,1610,100.0,28171,10.0
5395,12-11-2013,"6,13,14,16,17,33",0,0.0,19,3500.0,1352,100.0,23812,10.0
5394,09-11-2013,"4,6,29,30,34,35",0,0.0,19,3500.0,1317,100.0,25990,10.0
5393,07-11-2013,"16,20,27,35,37,48",0,0.0,23,3500.0,1336,100.0,25138,10.0
5392,05-11-2013,"17,19,23,25,28,37",0,0.0,35,3500.0,1529,100.0,25878,10.0
5391,02-11-2013,"10,15,20,32,43,48",0,0.0,13,3500.0,914,100.0,17729,10.0
5390,31-10-2013,"1,19,25,34,38,47",0,0.0,22,3500.0,1143,100.0,21723,10.0
5389,29-10-2013,"3,14,21,25,30,49",0,0.0,30,3500.0,1223,100.0,22560,10.0
5388,26-10-2013,"3,15,27,29,35,41",1,1000000.0,29,3500.0,1448,100.0,25803,10.0
5387,24-10-2013,"8,12,27,29,38,44",0,0.0,36,3500.0,1165,100.0,22534,10.0
5386,22-10-2013,"7,34,35,37,40,48",0,0.0,16,3500.0,886,100.0,17206,10.0
5385,19-10-2013,"5,10,13,31,39,41",0,0.0,28,3500.0,1489,100.0,27904,10.0
5384,17-10-2013,"4,12,22,27,36,47",0,0.0,23,3500.0,1151,100.0,21425,10.0
5383,15-10-2013,"1,12,13,24,45,46",0,0.0,23,3500.0,1096,100.0,21296,10.0
5382,12-10-2013,"13,19,26,27,32,33",1,1000000.0,43,3500.0,2555,100.0,43137,10.0
5381,10-10-2013,"4,9,23,45,48,49",0,0.0,38,3500.0,1554,100.0,28094,10.0
5380,08-10-2013,"16,22,25,32,34,39",0,0.0,24,3500.0,1291,100.0,22269,10.0
5379,05-10-2013,"2,8,17,19,26,32",0,0.0,31,3500.0,1762,100.0,30347,10.0
5378,03-10-2013,"4,11,17,18,21,22",0,0.0,21,3500.0,1504,100.0,26322,10.0
5377,01-10-2013,"8,15,16,24,26,48",2,1000000.0,45,3500.0,1358,100.0,21708,10.0
5376,28-09-2013,"15,17,30,31,32,37",0,0.0,27,3500.0,1221,100.0,23127,10.0
5375,26-09-2013,"9,15,17,22,39,45",0,0.0,48,3500.0,1960,100.0,34432,10.0
5374,24-09-2013,"12,25,30,31,40,45",0,0.0,26,3500.0,1407,100.0,27622,10.0
5373,21-09-2013,"3,6,27,29,38,39",0,0.0,27,3500.0,1702,100.0,33722,10.0
5372,19-09-2013,"16,17,28,32,36,48",0,0.0,20,3500.0,1207,100.0,22040,10.0
5371,17-09-2013,"1,16,24,38,39,41",0,0.0,11,3500.0,1040,100.0,18700,10.0
5370,14-09-2013,"4,12,27,32,45,48",0,0.0,51,3500.0,2135,100.0,39876,10.0
5369,12-09-2013,"7,11,23,28,39,45",0,0.0,31,3500.0,1826,100.0,28932,10.0
5368,10-09-2013,"2,23,27,28,32,37",0,0.0,29,3500.0,1318,100.0,24139,10.0
5367,07-09-2013,"3,16,32,38,40,44",0,0.0,31,3500.0,1306,100.0,24635,10.0
5366,05-09-2013,"4,6,23,28,33,44",0,0.0,57,3500.0,2932,100.0,51241,10.0
5365,03-09-2013,"10,15,20,25,41,48",0,0.0,27,3500.0,2229,100.0,38970,10.0
5364,31-08-2013,"16,32,34,35,41,42",0,0.0,45,3500.0,2193,100.0,41399,10.0
5363,29-08-2013,"9,15,18,22,36,38",0,0.0,46,3500.0,1976,100.0,33147,10.0
5362,27-08-2013,"3,12,20,24,32,34",0,0.0,21,3500.0,1629,100.0,29336,10.0
5361,24-08-2013,"21,29,32,33,39,47",0,0.0,22,3500.0,1281,100.0,26221,10.0
5360,22-08-2013,"4,9,17,25,44,49",0,0.0,22,3500.0,1349,100.0,22851,10.0
5359,20-08-2013,"3,4,9,11,14,15",0,0.0,68,3500.0,3091,100.0,52506,10.0
5358,17-08-2013,"2,17,19,25,40,42",0,0.0,46,3500.0,2367,100.0,42529,10.0
5357,15-08-2013,"5,20,23,25,29,33",0,0.0,28,3500.0,1443,100.0,27769,10.0
5356,13-08-2013,"20,30,40,42,44,47",0,0.0,25,3500.0,1402,100.0,24596,10.0
5355,10-08-2013,"21,30,32,34,40,44",0,0.0,22,3500.0,1334,100.0,24986,10.0
5354,08-08-2013,"3,11,29,34,35,46",0,0.0,11,3500.0,953,100.0,19385,10.0
5353,06-08-2013,"19,27,37,38,47,49",0,0.0,50,3500.0,2314,100.0,43490,10.0
5352,03-08-2013,"3,18,20,31,33,48",0,0.0,43,3500.0,2434,100.0,43848,10.0
5351,01-08-2013,"15,20,23,32,36,47",0,0.0,40,3500.0,1689,100.0,32281,10.0
5350,30-07-2013,"3,9,11,21,33,43",0,0.0,46,3500.0,2315,100.0,36806,10.0
5349,27-07-2013,"13,23,26,27,41,49",0,0.0,25,3500.0,1753,100.0,32112,10.0
5348,25-07-2013,"11,16,18,35,37,45",0,0.0,25,3500.0,1121,100.0,21371,10.0
5347,23-07-2013,"3,6,14,21,22,26",0,0.0,37,3500.0,1510,100.0,24972,10.0
5346,20-07-2013,"1,7,8,22,45,47",0,0.0,69,3500.0,2884,100.0,54237,10.0
5345,18-07-2013,"11,14,29,31,43,44",1,1000000.0,34,3500.0,1816,100.0,36583,10.0
5344,16-07-2013,"6,10,12,14,17,34",0,0.0,43,3500.0,2598,100.0,44903,10.0
5343,13-07-2013,"15,27,30,35,43,48",0,0.0,54,3500.0,2276,100.0,37078,10.0
5342,11-07-2013,"3,10,18,30,36,44",0,0.0,24,3500.0,1400,100.0,27415,10.0
5341,09-07-2013,"9,12,16,28,37,42",0,0.0,31,3500.0,1413,100.0,25056,10.0
5340,06-07-2013,"2,10,25,33,39,47",2,1000000.0,34,3500.0,1258,100.0,24629,10.0
