921,"(32, 7)",104
84,"(36, 42)",102
2648,"(2, 3)",101
2235,"(21, 36)",100
896,"(28, 30)",95
2632,"(1, 6)",95
898,"(30, 33)",95
178,"(15, 21)",94
2982,"(19, 36)",93
919,"(20, 7)",93
1288,"(12, 23)",92
775,"(11, 24)",91
1823,"(18, 42)",91
2684,"(19, 4)",91
1095,"(26, 30)",90
2087,"(22, 28)",90
2581,"(12, 37)",90
3719,"(11, 36)",90
204,"(12, 29)",90
1664,"(13, 19)",90
844,"(10, 36)",89
617,"(27, 7)",89
1968,"(18, 21)",89
1403,"(4, 6)",89
2145,"(27, 33)",89
371,"(18, 28)",89
3033,"(17, 27)",89
894,"(19, 30)",89
800,"(3, 36)",89
324,"(1, 26)",89
427,"(34, 42)",89
60,"(41, 9)",89
1113,"(10, 5)",89
1604,"(11, 34)",89
1501,"(39, 8)",88
78,"(12, 36)",88
235,"(33, 40)",88
2688,"(29, 4)",88
375,"(28, 31)",88
1290,"(12, 38)",88
2787,"(24, 38)",88
159,"(26, 9)",88
2931,"(30, 31)",88
1606,"(31, 9)",88
2274,"(21, 25)",87
958,"(1, 29)",87
1534,"(18, 9)",87
1971,"(21, 4)",87
448,"(13, 36)",87
895,"(19, 33)",87
1022,"(20, 27)",87
2547,"(30, 7)",87
2322,"(16, 22)",86
4165,"(17, 4)",86
1155,"(23, 6)",86
1115,"(17, 5)",86
346,"(16, 2)",86
497,"(2, 7)",86
756,"(11, 38)",86
549,"(30, 37)",86
893,"(19, 28)",86
5153,"(4, 5)",86
5637,"(15, 4)",86
177,"(15, 17)",86
4,"(35, 37)",86
848,"(2, 36)",86
1379,"(21, 37)",85
1685,"(23, 24)",85
34,"(33, 42)",85
591,"(15, 40)",85
684,"(10, 28)",85
566,"(13, 31)",85
821,"(21, 28)",85
521,"(30, 5)",85
280,"(11, 21)",85
2044,"(20, 36)",85
570,"(31, 35)",85
1224,"(13, 41)",85
1066,"(10, 23)",85
1537,"(29, 9)",85
1024,"(27, 41)",85
758,"(22, 38)",85
1440,"(39, 4)",84
753,"(10, 22)",84
181,"(17, 21)",84
157,"(17, 9)",84
1293,"(23, 39)",84
77,"(12, 16)",84
1462,"(22, 34)",84
3474,"(21, 40)",84
347,"(16, 20)",84
279,"(11, 16)",84
1687,"(24, 28)",84
871,"(22, 32)",83
1021,"(12, 9)",83
2410,"(4, 7)",83
1683,"(19, 23)",83
915,"(2, 21)",83
843,"(10, 29)",83
3570,"(16, 17)",83
282,"(15, 16)",83
6612,"(41, 7)",83
1211,"(21, 9)",83
446,"(13, 18)",83
2804,"(22, 4)",83
897,"(28, 33)",83
569,"(13, 4)",83
377,"(28, 36)",83
1420,"(10, 13)",83
2026,"(14, 4)",83
405,"(34, 40)",83
354,"(30, 6)",83
3720,"(27, 36)",83
1196,"(36, 38)",83
106,"(28, 37)",83
1270,"(33, 8)",83
516,"(1, 30)",82
1043,"(1, 35)",82
546,"(24, 37)",82
644,"(35, 6)",82
102,"(25, 28)",82
733,"(34, 6)",82
2963,"(2, 27)",82
2980,"(17, 19)",82
1314,"(19, 3)",82
9,"(5, 9)",82
57,"(23, 5)",82
1644,"(12, 24)",82
29,"(21, 42)",82
